feature,gain,split,gain_pct
dam_price_eur_mwh_lag1,2178168446.883362,1526,87.0428839724748
dam_price_eur_mwh_lag4,87464670.47644043,524,3.4952196534041624
dam_price_eur_mwh_rollstd4,40828302.48376465,1814,1.6315603143422697
dam_price_eur_mwh_rollmean4,23519845.67590332,349,0.9398883732557314
dam_price_eur_mwh_lag96,20002060.801208496,838,0.7993124039700167
dam_price_eur_mwh_rollstd16,12601880.814575195,274,0.5035900924685293
gen_lignite_mw,12259147.370605469,421,0.48989394906895445
gen_hydro_mw,10615042.903381348,370,0.4241930641883648
sin_tod,8971175.770629883,687,0.3585016635499123
thessaloniki_direct_radiation,6707336.221374512,135,0.26803523360043524
dam_price_eur_mwh_lag672,6291176.805541992,550,0.25140487803808487
athens_direct_radiation,5668979.385620117,68,0.22654093424727065
res_share,4619245.856384277,273,0.18459200512839039
gas_share_production,4018458.302307129,454,0.16058363174640078
dam_price_eur_mwh_rollmean16,3838670.8978881836,298,0.15339905692394276
system_losses_mw,3735480.5118408203,179,0.14927541404744832
mtu_15m_active,3726380.2127685547,424,0.14891175242274918
gen_gas_mw,3557026.10546875,459,0.14214410782985681
patras_direct_radiation,3249582.9571533203,111,0.12985821767051536
dam_price_eur_mwh_lag8,3229285.2208862305,412,0.12904708963065775
hour,2711102.098388672,200,0.1083397134529397
dam_price_eur_mwh_rollstd96,2636105.4307250977,258,0.10534273392589566
cos_tod,2625262.5521240234,207,0.10490943620489003
dam_price_eur_mwh_lag48,2449435.218017578,293,0.0978831117423741
thessaloniki_shortwave_radiation,2416725.3803100586,118,0.09657597747899427
forecast_solar_mw,2280568.720397949,190,0.09113495276496576
net_export_mw,2138265.0932617188,232,0.08544828600445671
patras_shortwave_radiation,2121908.494506836,83,0.08479465174139376
minute_of_day,1954316.0429077148,296,0.07809740555729915
thessaloniki_diffuse_radiation,1595371.376525879,113,0.06375343735175573
patras_diffuse_radiation,1503144.5227050781,102,0.06006791369643109
gen_renewables_mw,1483261.6379394531,168,0.05927336374591247
eua_eur_t,1473204.7502441406,245,0.05887147540250183
crete_direct_radiation,1339912.6093139648,80,0.05354492117111123
athens_diffuse_radiation,1331813.6036376953,94,0.053221272735022356
load_mv_mw,1328534.5877685547,239,0.05309023833396403
dam_price_eur_mwh_rollmean96,1195360.8482666016,178,0.0477684156015508
sin_doy,1149671.9407958984,215,0.045942618208565926
cos_doy,1089886.1013183594,174,0.04355348623106139
athens_shortwave_radiation,1027771.8215942383,43,0.04107130628267559
gen_crete_conventional_mw,997205.0338745117,179,0.03984981151687528
load_hv_mw,981606.7763061523,195,0.0392264817070811
crete_wind_speed_100m,931842.2364501953,95,0.03723781592008762
ccgt_srmc_eur_mwh,915229.6820068359,126,0.03657395328312363
ttf_eur_mwh,898855.8313598633,185,0.035919629608530707
load_crete_mw,856077.6437988281,127,0.03421014895667581
dam_price_eur_mwh_lag24,854036.5587158203,226,0.03412858412990017
thessaloniki_temperature_2m,813769.9975585938,99,0.03251947184301802
crete_diffuse_radiation,791724.7846679688,103,0.031638512011590465
dow,739695.2127075195,166,0.02955933213834836
crete_cloud_cover,711109.420715332,119,0.028417000938391116
thessaloniki_wind_direction_100m,694157.3803100586,139,0.02773957193229004
athens_wind_direction_100m,691369.9353027344,121,0.027628181441486016
thessaloniki_wind_speed_100m,645028.6167602539,104,0.025776312721784274
patras_wind_direction_100m,643819.6348266602,94,0.025727999987146515
radiation_avg_wm2,640433.4211425781,49,0.02559268180033167
load_forecast_mw,633616.6028442383,95,0.025320271498432
load_lv_mw,612910.1119995117,116,0.024492809011472577
patras_temperature_2m,610091.1386108398,116,0.024380158599176527
athens_wind_speed_100m,586010.3936157227,103,0.02341785584633852
residual_load_forecast_mw,566758.1057128906,143,0.022648505493968542
temp_avg_c,526626.856628418,63,0.02104480048082853
forecast_wind_onshore_mw,520861.78692626953,71,0.020814419633151046
crete_temperature_2m,512552.73291015625,87,0.020482377349791178
demand_total_mw,502079.26544189453,87,0.020063841852716185
res_total_forecast_mw,485141.8231201172,82,0.019386996207966148
crete_wind_direction_100m,470439.81951904297,91,0.018799482053382614
athens_cloud_cover,466492.4017944336,91,0.01864173730986395
doy,463711.3507080078,104,0.018530602329746296
gen_crete_renewables_mw,463659.74993896484,66,0.01852854028548194
crete_shortwave_radiation,443874.1862792969,70,0.017737879432588446
thessaloniki_cloud_cover,432594.94592285156,103,0.01728714404017722
patras_wind_speed_100m,415298.9920654297,99,0.01659597173577671
wind_avg_ms,358675.53240966797,79,0.014333213207624871
patras_cloud_cover,332531.19287109375,74,0.0132884461161498
load_total_mw,306784.26190185547,68,0.012259560068236752
production_total_mw,286652.0142211914,79,0.011455045200949721
volume_mainland_mwh,268804.4613647461,77,0.010741830171736064
athens_temperature_2m,255965.4169921875,70,0.010228762667137363
month,80629.94018554688,21,0.0032220935613681482
thermal_gap_mw,64647.4716796875,12,0.0025834101052103864
is_weekend,11216.549255371094,4,0.00044823016181498083
